EC-Lab ASCII FILE
Nb header lines : 53                          

Cyclic Voltammetry

Run on channel : 1 (SN 24330)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Ewe ctrl range : min = -2,50 V, max = 2,50 V
Safety Limits :
	Do not start on E overload
Acquisition started on : 10/05/2017 17:30:03
Saved on :
	File : Co_13_200mV_01_CV_02_CV_02_CV_C01.mpr
	Directory : C:\Users\usuario\Documents\EC-Lab\Data\Federico\R=H\CO2 reduction\CV_scan rates CO2_0,4 mM_GC 1mm_5-10-2017\
	Host : 192.168.1.115
Device : VSP (SN 1463)
Address : USB
EC-Lab for windows v11.10 (software)
Internet server v11.10 (firmware)
Command interpretor v11.10 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Electrode surface area : 0,001 cm²
Characteristic mass : 0,001 g
Equivalent Weight : 0,000 g/eq.
Density : 0,000 g/cm3
Ei (V)              0,100               
vs.                 Ref                 
dE/dt               200,000             
dE/dt unit          mV/s                
E1 (V)              -1,870              
vs.                 Ref                 
Step percent        50                  
N                   20                  
E range min (V)     -2,500              
E range max (V)     2,500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           5                   
E2 (V)              1,000               
vs.                 Ref                 
nc cycles           0                   
Reverse Scan        1                   
Ef (V)              0,000               
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	Rcmp/Ohm	P/W
2	0	0	1	0	3,5035	-0,146076247	-0,146823451	-0,00012711924466956456	1	-1,05716651E-007	338,910034	1,86640854E-008
2	0	0	1	0	3,5155	-0,148476243	-0,149183199	-0,00012805982475739283	1	-1,07216167E-007	338,910034	1,9104375E-008
2	0	0	1	0	3,5275	-0,150876239	-0,151608795	-0,00012895768820766323	1	-1,08724088E-007	338,910034	1,95511198E-008
2	0	0	1	0	3,5395	-0,15327625	-0,154009998	-0,00012913944143938778	1	-1,10239419E-007	338,910034	1,98887644E-008
2	0	0	1	0	3,5515	-0,155676246	-0,156386822	-0,00012946525906368354	1	-1,11757167E-007	338,910034	2,02466612E-008
2	0	0	1	0	3,5635	-0,158076242	-0,158775225	-0,00012993847653469389	1	-1,13285239E-007	338,910034	2,06310116E-008
2	0	0	1	0	3,5755	-0,160476238	-0,161234796	-0,00013101808073008424	1	-1,14819372E-007	338,910034	2,11246736E-008
2	0	0	1	0	3,5875	-0,162876233	-0,163608834	-0,00013114624116676446	1	-1,16362592E-007	338,910034	2,14566835E-008
2	0	0	1	0	3,5995	-0,165276244	-0,166014329	-0,00013163034328088699	1	-1,1790631E-007	338,910034	2,18525233E-008
2	0	0	1	0	3,6115	-0,16767624	-0,168350443	-0,00013196621249004202	1	-1,19456359E-007	338,910034	2,22165699E-008
2	0	0	1	0	3,6235	-0,170076236	-0,170808971	-0,00013235231591479798	1	-1,21014537E-007	338,910034	2,26069634E-008
2	0	0	1	0	3,6355	-0,172476247	-0,173210427	-0,00013351485132648451	1	-1,22580374E-007	338,910034	2,31261641E-008
2	0	0	1	0	3,6475	-0,174876243	-0,175589055	-0,00013354249040176277	1	-1,24149309E-007	338,910034	2,34485995E-008
2	0	0	1	0	3,6595	-0,177276239	-0,177997276	-0,00013425861561201291	1	-1,25724895E-007	338,910034	2,38976678E-008
2	0	0	1	0	3,6715	-0,17967625	-0,180428892	-0,00013456682325384533	1	-1,27306521E-007	338,910034	2,42797427E-008
2	0	0	1	0	3,6835	-0,182076246	-0,18277508	-0,00013399645017710782	1	-1,28891287E-007	338,910034	2,44912126E-008
2	0	0	1	0	3,6955	-0,184476241	-0,185183346	-0,00013541443556912237	1	-1,30482618E-007	338,910034	2,50764991E-008
2	0	0	1	0	3,7075	-0,186876252	-0,187553138	-0,00013597309416661694	1	-1,32081794E-007	338,910034	2,55021799E-008
